Turquoise Hill Resources Ltd.,TRQ:TSX
Valeant Pharmaceuticals International Inc.,VRX:TSX
Veresen Inc.,VSN:TSX
Vermilion Energy Inc.,VET:TSX
WSP Global Inc.,WSP:TSX
Wajax Corporation,WJX:TSX
West Fraser Timber Co. Ltd.,WFT:TSX
WestJet Airlines Ltd.,WJA:TSX
Westport Innovations Inc.,WPT:TSX
Westshore Terminals Investment Corporation,WTE:TSX
Whitecap Resources Inc.,WCP:TSX
Yamana Gold Inc.,YRI:TSX
